year,link,title
,/farmworkermovement/TimelineWeb.pdf,Timeline
,/farmworkermovement/DocProjSiteMap.pdf,Site Map
 1962-1966 ,/farmworkermovement/essays/essays/001 Havens_David.pdf,David Havens 1962-1966
 1962-1967 ,/farmworkermovement/essays/essays/002 Sample_Sandy_Clark.pdf,Sandy Clark Sample 1962-1967
 1962-1973 ,/farmworkermovement/essays/essays/003 Drake_Susan.pdf,Susan Samuels Drake 1962-1973
 1962 \2013 1978 ,/farmworkermovement/essays/essays/004 Drake_Jim.pdf,Jim Drake 1962 – 1978
 1962-1980 ,/farmworkermovement/essays/essays/005 Padilla_Gilbert.pdf,Gilbert Padilla 1962-1980
 1962 \2013 1989 ,/farmworkermovement/essays/essays/006 Hartmire_Chris.pdf,Wayne “Chris” Hartmire 1962 – 1989
 1963 \2013 1967 ,/farmworkermovement/essays/essays/007 Brooks_Wendy.pdf,Wendy Brooks 1963 – 1967
 1963-1973 ,/farmworkermovement/essays/essays/008 Chatfield_LeRoy.pdf,LeRoy Chatfield 1963-1973
 1963-1991 ,/farmworkermovement/essays/essays/009 Murguia_Lupe.pdf,Jose Guadalupe Murguia 1963-1991
 1964-1993 ,/farmworkermovement/essays/essays/010 De La Cruz_Jessie.pdf,Jessie De La Cruz 1964-1993
 1965 \2013 1967 ,/farmworkermovement/essays/essays/011 Holland_Jim.pdf,Jim Holland 1965 – 1967
 1965 \2013 1967 ,/farmworkermovement/essays/essays/012 Cousino_Ida.pdf,Ida Cousino 1965 – 1967
 1965-1968 ,/farmworkermovement/essays/essays/013 Frankel_Ed.pdf,Ed Frankel 1965-1968 
 1965-1973 ,/farmworkermovement/essays/essays/014 Chatfield_Bonnie Burns.pdf,Bonnie Burns Chatfield 1965-1973 
 1965-1974 ,/farmworkermovement/essays/essays/015 Imutan_Andrew.pdf,Andy Imutan 1965-1974 
 1965-1968 1970-1975 ,/farmworkermovement/essays/essays/016 Kornberg_Donna Haber.pdf,Donna Haber Kornberg 1965-1968 1970-1975
 1965-1975 ,/farmworkermovement/essays/essays/Helen Serda Essay Final.pdf,Helen Serda 1965-1975 
 1965-1971 1975-1977 ,/farmworkermovement/essays/essays/017 Adair_Doug.pdf,Doug Adair 1965-1971 1975-1977
 1965 \2013 1980 ,/farmworkermovement/essays/essays/018 Reyes_Rudy.pdf,Rudy Reyes 1965 – 1980 
 1965-1980 ,/farmworkermovement/essays/essays/019 Saludado_Maria Magana.pdf,Maria Saludado Magana 1965-1980 
 1965-1983 ,/farmworkermovement/essays/essays/020 Murguia_Kathy Lynch.pdf,Kathy Lynch Murguia 1965-1983 
 1965 \2013 1979 ,/farmworkermovement/essays/essays/021 Figueroa_Alfredo.pdf,Alfredo Figueroa 1965 – 1979 
 1965-1970 1972-1979 1986 ,/farmworkermovement/essays/essays/022 Rivera_Abby Flores.pdf,Abby Flores Rivera 1965-1970 1972-1979 1986 
 1965-1989 ,/farmworkermovement/essays/essays/023 Gomez_Humberto.pdf,Humberto Gomez 1965-1989 
1966,/farmworkermovement/essays/essays/024 Munger_Kate.pdf,Kate Munger 1966 
1966,/farmworkermovement/essays/essays/John A. Kouns Essay.pdf,John A. Kouns 1966
 1966-1968 ,/farmworkermovement/essays/essays/025 Watson_Mary Lou.pdf,Mary Lou Watson 1966-1968 
 1966-1968 ,/farmworkermovement/essays/essays/026 Ryan_Frances.pdf,Frances Ryan 1966-1968 
 1966-1969 ,/farmworkermovement/essays/essays/027 Chiera_Ed.pdf,Ed Chiera 1966-1969 
 1966-1970 ,/farmworkermovement/essays/essays/028 Brown_Juanita.pdf,Juanita Brown 1966-1970
 1966-1970 ,/farmworkermovement/essays/essays/029 Brown_Jerry.pdf,Jerry Brown 1966-1970 
 1966 \2013 1972 ,/farmworkermovement/essays/essays/030 Leap_Kenneth.pdf,Ken Leap 1966 – 1972 
 1966-1972 ,/farmworkermovement/essays/essays/LEAP001.pdf,Jim Leap 1966-1972
 1966-1974 ,/farmworkermovement/essays/essays/031 Lopez_Hope.pdf,Hope Lopez Fierro 1966-1974 
 1966-1974 ,/farmworkermovement/essays/essays/032 Botello_J.pdf,J.M. “Pancho” Botello 1966-1974 
 1966-1975 ,/farmworkermovement/essays/essays/033 Kleiber_Nancy.pdf,Nancy Kleiber 1966-1975 
 1966-1971 1974 1976 ,/farmworkermovement/essays/essays/034 Boutilier_Gene.pdf,Gene Boutilier 1966-1971 1974 1976 
 1966-1971 ,/farmworkermovement/essays/essays/035 Kendall_Karen.pdf,Karen Boutilier Kendall 1966-1971 
 1966 \2013 1976 ,/farmworkermovement/essays/essays/036 Jones_Nick.pdf,Nick Jones 1966 – 1976 
 1966-1977 ,/farmworkermovement/essays/essays/037 Matson_Rosemary.pdf,Rosemary Matson 1966-1977 
 1966-1978 ,/farmworkermovement/essays/essays/038 LeGerrette_Carlos and Linda.pdf,Carlos and Linda LeGerrette 1966-1978 
1967,/farmworkermovement/essays/essays/039 Brooks_David.pdf,David Brooks 1967 
 1967 \2013 1968 ,/farmworkermovement/essays/essays/040 Hirsch_Fred.pdf,Fred Hirsch 1967 – 1968 
 1967-1968 ,/farmworkermovement/essays/essays/041 Lidman_Raven.pdf,Raven Lidman aka Candi Clarke 1967-1968 
 1967-1969 ,/farmworkermovement/essays/essays/042 Keogh_Liz.pdf,Liz (Taylor) Keogh 1967-1969 
 1967 \2013 1970 ,/farmworkermovement/essays/essays/043 Day_Mark.pdf,Mark R. Day 1967 – 1970 
 1967-1971 ,/farmworkermovement/essays/essays/044 Ahumada_Rudy.pdf,Rudy Ahumada 1967-1971 
 1967-1976 ,/farmworkermovement/essays/essays/045 Rodriguez_Virginia.pdf,Virginia Rodriguez 1967-1976 
1968,/farmworkermovement/essays/essays/046 Honigman_Joanne.pdf,Joanne (Edelson) Honigman 1968 
 1968-1969 ,/farmworkermovement/essays/essays/miller68-69.pdf,Mike Miller 1968-1969
 1968-1970 ,/farmworkermovement/essays/essays/047 Averbuck_David.pdf,David Averbuck 1968-1970 
 1968-1970 ,/farmworkermovement/essays/essays/048 Silverman_Mark.pdf,Mark Silverman 1968-1970 
 1968 \2013 1971 ,/farmworkermovement/essays/essays/049 Julie Greenfield.pdf,Julie Greenfield 1968 – 1971
 1968-1972 ,/farmworkermovement/essays/essays/GLORIA SERDA RODRIGUEZ ESSAY.pdf,Gloria Serda Rodriguez 1968-1972
 1968-1973 ,/farmworkermovement/essays/essays/050 Montoya_Daneen.pdf,Daneen Montoya 1968-1973 
 1968 \2013 1973 ,/farmworkermovement/essays/essays/051 Powell_Ernie.pdf,Ernie Powell 1968 – 1973 
 1968 \2013 1973 ,/farmworkermovement/essays/essays/052 Rangel_Hijinio.pdf,Hijinio Rangel 1968 – 1973 
 1968-1973 ,/farmworkermovement/essays/essays/MIKE ROSENTHAL ESSAY.pdf,Mike Rosenthal 1968-1973
 1968 \2013 1975 ,/farmworkermovement/essays/essays/053 Huerta_Rey.pdf,Rey Huerta 1968 – 1975 
 1968-1969 1974-1976 ,/farmworkermovement/essays/essays/054 Elinson_Elaine.pdf,Elaine Elinson 1968-1969 1974-1976 
 1968-1973 1976 \2013 1980 ,/farmworkermovement/essays/essays/055 Bonner_Patrick.pdf,Patrick Bonner 1968-1973 1976 – 1980 
 1968 \2013 1980 ,/farmworkermovement/essays/essays/056 Rifo_Maria.pdf,Maria Rifo 1968 – 1980 
 1968 \2013 1981 ,/farmworkermovement/essays/essays/057 Vazquez_Alfredo.pdf,Alfredo Vazquez 1968 – 1981 
 1968 \2013 1981 ,/farmworkermovement/essays/essays/058 Vazquez_Lucia.pdf,Lucia Vazquez 1968 – 1981 
 1968 \2013 1990 ,/farmworkermovement/essays/essays/059 Peterson_Janis.pdf,Janis Peterson 1968 – 1990 
1969,/farmworkermovement/essays/essays/060 Kambic_Mary.pdf,Mary Kambic 1969 
 1969-1970 ,/farmworkermovement/essays/essays/061 Farnsworth_Elizabeth.pdf,Elizabeth (Liz) Farnsworth 1969-1970 
 1969-1972 ,/farmworkermovement/essays/essays/062 Farnsworth_Chuck.pdf,Chuck Farnsworth 1969-1972 
 1969 \2013 1973 ,/farmworkermovement/essays/essays/063 Brown_Kevin.pdf,Kevin M. Brown 1969 – 1973 
 1969-1974 ,/farmworkermovement/essays/essays/064 Lilli Sprintz Essay.pdf,Lilli Sprintz 1969-1974 
 1969 \2013 1975 ,/farmworkermovement/essays/essays/065 Kay_Jerry.pdf,Jerry Kay 1969 – 1975 
 1969 1971- 1976 ,/farmworkermovement/essays/essays/066 Cassell_Jim.pdf,Jim Cassell 1969 1971- 1976 
 1969-1973 1987-1989 ,/farmworkermovement/essays/essays/067 Segur_Hub.pdf,Hub Segur 1969-1973 1987-1989 
 1969-1990 ,/farmworkermovement/essays/essays/068 Macri Ortiz_Barbara.pdf,Barbara Macri-Ortiz 1969-1990 
1970,/farmworkermovement/essays/essays/069 Fuentes_Maria.pdf,Maria Fuentes 1970 
 1970-1971 ,/farmworkermovement/essays/essays/070 Rosenzweig_Anne.pdf,Anne Rosenzweig 1970-1971 
 1970- 1971 ,/farmworkermovement/essays/essays/071 Johnston_Michael.pdf,Michael Johnston 1970- 1971 
 1970 \2013 1972 ,/farmworkermovement/essays/essays/072 Fromberg_Jeff.pdf,Jeff Fromberg 1970 – 1972 
 1970 \2013 1972 ,/farmworkermovement/essays/essays/073 Gonzales_Andres.pdf,Andres Gonzalez 1970 – 1972 
 1970-1973 ,/farmworkermovement/essays/essays/074 Lucero_Al.pdf,Al (Mascarenas) Lucero 1970-1973 
 1970 \2013 1973 ,/farmworkermovement/essays/essays/075 Teller_Harriet.pdf,Harriet Teller 1970 – 1973 
 1970 \2013 1974 ,/farmworkermovement/essays/essays/076 Carder_Bill.pdf,Bill Carder 1970 – 1974 
 1970 \2013 1974 ,/farmworkermovement/essays/essays/077 Carder_Joanne.pdf,Joanne Carder 1970 – 1974 
 1970 \2013 1974 ,/farmworkermovement/essays/essays/078 Cate_Sandra.pdf,Sandra Cate 1970 – 1974 
 1970-1974 ,/farmworkermovement/essays/essays/079 Montoya_Ruben.pdf,Ruben Montoya 1970-1974 
 1970 \2013 1974 ,/farmworkermovement/essays/essays/080 Kathy Smoot.pdf,Kathy (Olguin) Smoot 1970 – 1974
 1970 \2013 1975 ,/farmworkermovement/essays/essays/081 Graddy_Leonie_Fuller_Lomax.pdf,Nonie Fuller (Lomax) Graddy 1970 – 1975 
 1970 \2013 1975 ,/farmworkermovement/essays/essays/082 Proctor_Patty_Park.pdf,Patty (Proctor) Park 1970 – 1975 
 1970 \2013 1975 ,/farmworkermovement/essays/essays/083 Hoffman_Pat.pdf,Pat Hoffman 1970 – 1975 
 1970-1971 1974 \2013 1975 ,/farmworkermovement/essays/essays/084 Hendry_Khati.pdf,Khati Hendry 1970-1971 1974 – 1975
 1970-1976 ,/farmworkermovement/essays/essays/FRED ROSS JR ESSAY.pdf,"Fred Ross, Jr. 1970-1976"
 1970 \2013 1976 ,/farmworkermovement/essays/essays/085 Ryan_Nancy_Welch.pdf,Nancy Welch Ryan 1970 – 1976 
 201970-1976.pdf>Brien Kinkel 1970-1976 ,/farmworkermovement/essays/essays/BRIEN KINKEL ESSAY 1970-1976.pdf,Brien Kinkel 1970-1976
 1970-1978 ,/farmworkermovement/essays/essays/SHERIDAN ESSAY.pdf,George Sheridan 1970-1978
 1970-1972 1976-1978 ,/farmworkermovement/essays/essays/086 Doner_Tasha.pdf,Tasha Doner 1970-1972 1976-1978 
